name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score
Copperhead,Unknown,Unknown,Bad,DC Comics,90,10,40,45,40,100
Copycat,Vanessa Carlysle,Vanessa Carlysle,Neutral,Marvel Comics,80,10,20,25,55,60
Corsair,Christopher Summers,Christopher Summers,Good,Marvel Comics,0,0,0,0,0,0
Corvus Glaive (MCU),Corvus Glaive,Corvus Glaive,Bad,Marvel Comics,70,65,65,70,65,90
Cy-Gor,,,Bad,Image Comics,0,0,0,0,10,0
Cosmic Hulk,Robot Hulk,,Bad,Marvel Comics,85,90,75,90,100,75
Cosmic King Thor,Thor Odinson,Thor Odinson,Good,Marvel Comics,100,100,100,100,100,100
Cosmo The Spacedog,Cosmo,Cosmo,Good,Marvel Comics,90,15,30,45,100,55
Cottonmouth,Burchell Clemens,Burchell Clemens,Bad,Marvel Comics,75,10,10,10,25,25
Crimson Crusader,Rory Destine,Rory Destine,Good,Marvel Comics,0,0,0,0,10,0
Crimson Dynamo,Anton Vanko,Anton Vanko,Good,Marvel Comics,100,30,55,60,35,60
Crossbones,Brock Rumlow,Brock Rumlow,Bad,Marvel Comics,70,15,45,40,30,100
Crystal (MCU),Crystalia Amaquelin,Crystalia Amaquelin,Good,Marvel Comics,85,10,25,20,80,80
Crystal,Crystallia Amaquelin,Crystallia Amaquelin Maximoff,Good,Marvel Comics,80,15,10,15,60,55
Cull Obsidian (MCU),Cull Obsidian,Cull Obsidian,Bad,Marvel Comics,60,90,60,85,85,95
Curse,Phillip Krahn,Phillip Krahn,Bad,Image Comics,0,0,0,0,15,0
Cyborg Superman (CW),Hank Henshaw,Henry Henshaw,Bad,,85,100,85,90,100,85
Cyborg,Victor Stone,Victor Stone,Good,DC Comics,90,55,40,85,70,65
Cyclops (FOX),Scott Summers,,Good,Marvel Comics,65,15,30,30,50,55
Cyclops,Scott Summers,Scott Summers,Good,Marvel Comics,90,10,25,40,75,80
Cypher,Douglas Aaron Ramsey,Douglas Aaron Ramsey,Good,Marvel Comics,100,20,70,40,100,85
Cyrus Borg,Cyrus Borg,Dr. Cyrus Borg,Good,,100,5,50,15,20,15
Daddy No Legs,Nobody Knows,Daddy No Legs,Neutral,,85,30,40,40,80,35
Dagger,Tandy Bowen,Tandy Bowen,Good,Marvel Comics,80,10,35,40,60,70
Daken,Akihiro,Akihiro,Bad,Marvel Comics,85,15,50,80,100,100
Damage Control,,,Good,Marvel Comics,80,5,15,30,25,30
Damien Darhk (CW),Damien Darhk,Damien Darhk,Bad,,95,30,45,55,100,100
Danny Cooper,,,Good,HarperCollins,0,0,0,0,0,0
Dante,Dante Sparda,,Neutral,Capcom,85,80,90,95,100,100
Danzō,,Danzō Shimura,Neutral,Shueisha,95,10,50,60,100,100
Daphne Powell,Daphne Powell,Daphne Powell,Good,ABC Studios,70,10,10,10,55,10
Daredevil (FOX),Matt Murdock,,Good,Marvel Comics,90,10,80,50,60,100
Dark Archer (CW),Malcolm Merlyn,Arthur King,Neutral,DC Comics,95,15,45,50,50,100
Dark Beast,,,Bad,Marvel Comics,0,0,0,0,0,0
Dark Elf Soldier,Dark Elf Soldier,,,,70,10,25,25,25,50
Dark Kahn,,,Bad,DC Comics,95,100,100,100,100,95
Dark Phoenix (Venomized),Jean Grey,Jean Elaine Grey-Summers,Bad,Marvel Comics,100,100,100,100,100,85
Darkhawk,Christopher Powell,Christopher Powell,Good,Marvel Comics,75,30,35,70,75,65
Darkman,Peyton Westlake,Peyton Westlake,Good,Universal Studios,95,15,20,60,20,30
Darkstar,Laynia Petrovna,Laynia Petrovna,Good,Marvel Comics,70,10,35,40,80,65
Darth Maul,Maul,Maul,Bad,George Lucas,85,50,35,45,100,100
Darth Nihilus,Unknown,Unknown,Bad,George Lucas,65,30,100,30,100,45
Darth Nox,Remowa Alucard,Remowa Alucard,Bad,George Lucas,85,30,100,30,100,100
Darwin (FOX),Armando Muñoz,Armando Muñoz,Good,Marvel Comics,70,10,30,100,100,70
Dash,Dashiell Robert Parr,Dashiell Robert Parr,Good,Dark Horse Comics,65,10,90,60,20,30
Data,Data,,Good,Star Trek,100,30,20,40,55,50
David Cain,David Cain,,Bad,DC Comics,100,10,20,15,20,100
Dazzler,Alison Blaire,Alison Blaire,Good,Marvel Comics,80,10,35,60,100,55
Deacons Of The Deep,,,,Namco,75,10,35,20,100,30
Deathstroke (Injustice),Slade Wilson,Slade Joseph Wilson,Neutral,DC Comics,90,30,35,70,100,100
Deadpool,Wade Wilson,Wade Winston Wilson,Neutral,Marvel Comics,80,20,50,100,100,100
Deadshot (CW),Floyd Lawton,Floyd Lawton,Neutral,DC Comics,85,15,40,40,40,90
Deadshot (Injustice),Floyd Lawton,,Bad,DC Comics,80,10,25,30,55,80
Deadshot (New 52),Floyd Lawton,Floyd Lawton,Bad,DC Comics,85,10,25,35,40,90
Deadshot,Floyd Lawton,Floyd Lawton,Bad,DC Comics,75,10,25,30,55,80
Exodus,Bennet du Paris ,Bennet du Paris ,Bad,Marvel Comics,80,80,30,30,100,70
Dean Winchester,Dean Winchester,Dean Winchester,Good,Wildstorm,80,15,25,50,40,85
Death Of The Endless,Death,Death Of The Endless,Neutral,DC Comics,100,100,100,100,100,50
Death Seed Archangel,Warren Worthington,Warren Kenneth Worthington III,Neutral,Marvel Comics,95,15,90,80,100,85
Death Seed Draken,Akihiro,Akihiro,Bad,Marvel Comics,75,30,85,100,100,90
Deathlok (MCU),Michael Peterson,,Good,Marvel Comics,90,20,40,40,60,75
Deathstroke (New 52),Slade Wilson,Slade Joseph Wilson,Neutral,DC Comics,90,35,45,60,70,100
Deathstroke,Slade Wilson,Slade Joseph Wilson,Neutral,DC Comics,100,30,35,65,100,100
Dementor,,,Bad,J. K. Rowling,70,10,50,85,100,90
Demogoblin,,,Bad,Marvel Comics,75,50,40,35,65,60
Desaad,Unknown,,Bad,DC Comics,100,50,45,70,100,60
Lady Deathstrike,Yuriko Oyama,Yuriko Oyama,Bad,Marvel Comics,80,30,40,85,50,90
Desmond Miles,Desmond Miles,,Good,Ubisoft,85,10,30,40,95,90
Destroyer (MCU),,,,Marvel Comics,30,90,55,90,80,60
Destroyer,,,Bad,Marvel Comics,75,100,70,100,100,65
Destruction Of The Endless,Destruction,,Neutral,DC Comics,100,100,100,100,100,85
Detective Chimp,Bobo T. Chimpanzee,Bobo T. Chimpanzee,Good,DC Comics,100,55,60,85,100,85
Detroit Steel,Lt. Doug Johnson III,,Bad,Marvel Comics,100,90,60,60,55,65
Devastator,Bruce Wayne,,Bad,DC Comics,100,100,70,100,100,100
Devilman,Akira Fudo,Akira Fudo,Good,Shueisha,90,100,100,100,100,90
Dilara,Dilara,Dilara,Bad,,90,15,25,25,95,50
DL Hawkins,Daniel Lawrence Hawkins,Daniel Lawrence Hawkins,Good,NBC - Heroes,75,10,10,55,50,55
Domino (FOX),Neena Thurman,,Good,Marvel Comics,80,10,50,30,45,60
Doc Green,Bruce Banner,,Good,Marvel Comics,100,100,75,70,100,80
Doc Samson,Leonard Samson,Leonard Samson,Good,Marvel Comics,90,80,35,80,35,70
,,,,,0,0,0,0,0,0
Doctor Double X,Dr. Simon Ecks,,Bad,DC Comics,85,40,65,60,65,65
Doctor Mid-Nite,Dr Charles Mcnider,Dr Charles Mcnider,Good,DC Comics,90,35,35,35,55,90
Doctor Occult,Unknown,Unkown,Good,DC Comics,100,55,100,90,100,85
Doctor Octopus (Shattered Dimensions),Serena Patel,Dr. Serena Patel,,Marvel Comics,90,55,50,40,25,70
Doctor Octopus (SONY),Otto Octavius,Otto Octavius,Bad,Marvel Comics,100,50,40,40,55,75
Doctor Octopus,Otto Octavius,Otto Octavius,Bad,Marvel Comics,95,50,35,40,55,65
Doctor Poison,Marina Maru,,Bad,DC Comics,100,10,20,20,50,70
Doctor Sivana,"Dr. Thaddeus Sivana, Sr.",Thaddeus Bodog Sivana Sr,Bad,DC Comics,100,0,15,25,100,65
Doctor Strange (Classic),Stephen Strange,Stephen Vincent Strange,Good,Marvel Comics,100,15,100,100,100,60
Domino,Neena Thurman,Neena Thurman,Good,Marvel Comics,80,10,25,30,50,75
Donna Troy,Donna Hinckley Stacey Troy,Donna Hinckley Stacey Troy,Good,DC Comics,90,90,60,90,75,85
Doom Slayer,B.J. Blazkowicz IV,William Joseph Blazkowicz IV,Good,,100,95,65,100,100,100
Doomguy,B.J. Blazkowicz IV,William Joseph Blazkowicz IV,Good,,65,80,40,85,100,100
Doomsday (Hunter Prey),Doomsday,,Bad,DC Comics,50,100,100,100,100,60
Doomsday,Doomsday,Doomsday,Bad,DC Comics,90,100,65,100,100,90
Doppelganger,,,Bad,Marvel Comics,45,65,60,95,70,85
Dormammu,Dormammu,Dormammu,Bad,Marvel Comics,100,100,100,100,100,80
Doubloon,Pete Doubloon,,Bad,,65,65,65,60,100,100
Dove II,Dawn Granger,Dawn Marie Granger,Good,DC Comics,75,10,30,55,45,75
Dove (Titans),Dawn Granger,Dawn Granger,Good,DC Comics,85,10,45,40,40,95
Dr Manhattan,Jonathan Osterman,Jonathan Osterman,Good,DC Comics,100,100,40,100,100,45
Dracula,Vlad Tepes Dracula,Vlad Tepes Dracula,Bad,Konami,100,100,100,100,100,75
Drax the Destroyer,Arthur Sampson Douglas,Arthur Sampson Douglas,Good,Marvel Comics,80,80,25,85,45,65
Duela Dent,Duela Dent,,Neutral,DC Comics,100,10,20,40,30,50
Edward Kenway,Edward Kenway,Edward James Kenway,Good,Ubisoft,90,10,40,40,70,100
Dum Dum Dugan,Thaddeus Aloysius Cadwallader Dugan,Thaddeus Aloysius Cadwallader Dugan,Bad,Marvel Comics,90,15,30,30,25,65
Ebony Maw (MCU),,,Bad,Marvel Comics,100,10,40,35,100,70
Echo Zane,Echo Zane,Echo Zane,Good,,80,10,25,25,95,65
Ed,Ed,Ed Walker,Good,,80,5,10,10,15,15
Edward Elric,Edward Elric,,,,90,10,35,25,25,50
Egg Fu,Chang Tzu,,Bad,DC Comics,100,40,50,60,95,50
Ego (MCU),Ego,,Bad,Marvel Comics,90,95,85,95,100,80
Ego,Ego,Ego,Bad,Marvel Comics,95,80,85,100,70,30
El Diablo (DCEU),Chato Santana,,Good,DC Comics,90,25,80,70,45,80
El Diablo,Chato Santana,,Neutral,DC Comics,60,20,30,80,100,70
Electro (SONY),Max Dillon,Maxwell Dillon,Bad,Marvel Comics,85,20,70,70,90,55
Electro,Maxwell Dillon,Maxwell Dillon,Bad,Marvel Comics,85,10,50,55,65,65
Elektra (Fox),Elektra Natchios,,Neutral,Marvel Comics,90,20,50,45,50,70
Elektra (MCU),Elektra Natchios,,Neutral,Marvel Comics,85,15,60,40,20,95
Elektra,Elektra Natchios,Elektra Natchios,Good,Marvel Comics,80,10,30,30,60,100
Elle Bishop,,,Bad,NBC - Heroes,75,10,10,40,65,40
Elongated Man (CW),Ralph Dibny,Ralph Dibny,Good,,90,50,40,95,100,75
Elongated Man,Ralph Dibny,Ralph Dibny,Good,DC Comics,90,10,35,90,45,40
Emma Frost (FOX),Emma Grace Frost,,Good,Marvel Comics,95,30,50,85,90,85
Emma Frost,Emma Frost,Emma Grace Frost,Neutral,Marvel Comics,85,30,70,100,100,55
Enchantress (DCEU),June Moone,,Bad,DC Comics,95,65,80,95,100,65
Energy,,,Good,HarperCollins,0,0,0,0,5,0
Eradicator,Eradicator,,Bad,DC Comics,100,100,100,100,100,75
Erik Killmonger,N'Jadaka,,Bad,Marvel Comics,90,15,30,65,70,95
Eru Iluvatar,Eru,,Good,J. R. R. Tolkien,100,100,100,100,100,100
Ethan Hunt,Ethan Hunt,Ethan Matthew Hunt,Good,,90,10,30,30,25,95
Etrigan,Jason Blood,Jason Blood,Neutral,DC Comics,75,85,15,100,100,50
Evie Frye,Evie Frye,,Good,Ubisoft,90,10,45,30,70,100
Evil Deadpool,Wade Wilson,,Bad,Marvel Comics,85,30,50,100,100,100
Evil Nya,Nya,Nya,Bad,,90,35,25,40,100,100
Evilhawk,Dargin Bokk ,Dargin Bokk ,Bad,Marvel Comics,75,30,35,70,85,65
Executioner,Skurge,,Neutral,Marvel Comics,75,70,50,90,95,95
Ezio Auditore da Firenze,Ezio Auditore da Firenze,Ezio Auditore da Firenze,Good,Ubisoft,90,15,40,45,80,100
Fabian Cortez,Fabian Cortez,Fabian Cortez,Bad,Marvel Comics,0,0,0,0,0,0
Faceless Man,,,Neutral,George R. R. Martin,85,10,65,90,75,85
Falcon,Sam Wilson,Samuel Thomas Wilson,Good,Marvel Comics,70,15,50,30,20,65
Fallen One II,,,Bad,Marvel Comics,95,85,85,100,100,55
Faora,Faora Hu-Ul,Faora Hu-Ul,Bad,DC Comics,95,95,75,100,100,90
Fandral (MCU),Fandral,Fandral,Good,Marvel Comics,75,55,70,70,65,95
Fandral,,,,Marvel Comics,95,55,55,50,85,95
Fangtom,Fangtom,Fangtom,Neutral,,60,55,60,65,100,70
Fëanor,,,Good,J. R. R. Tolkien,100,95,80,70,100,100
Faora (DCEU),Faora-Ul,,Bad,DC Comics,85,100,100,80,80,100
Fatale,Real name unknown,Real name unknown,Bad,Marvel Comics,0,0,0,0,0,0
Felix Faust,Dekan Drache,,Bad,DC Comics,85,10,20,65,100,75
Fenris (MCU),Fenris,,,Marvel Comics,90,65,60,65,50,70
Feral,Maria Callasantos,Maria Callasantos,Good,Marvel Comics,70,30,45,30,25,70
Fin Fang Foom,,,Good,Marvel Comics,75,80,25,100,75,70
Fire,,Beatriz Bea Bonilla Da Costa,Good,DC Comics,90,40,65,70,65,85
Firefist (FOX),Russell Collins,,,Marvel Comics,90,20,30,35,45,50
Garbage Man,Richard Ethan Morse,Richard Ethan Morse,Good,DC Comics,0,0,0,0,10,0
Firelord,Pyreus Kril,Pyreus Kril,Good,Marvel Comics,70,65,75,90,50,30
Firestar,Angelica Jones,Angelica Jones,Good,Marvel Comics,75,10,55,55,70,30
Firestorm (CW),Ronald Raymond,Ronald Raymond,Good,DC Comics,85,35,80,70,100,65
Firestorm II (CW),Jefferson Jackson,Jefferson Jackson,Good,DC Comics,80,35,80,70,100,75
Firestorm,Ronald Raymond,Ronald Raymond,Good,DC Comics,70,80,60,80,100,40
First Spinjitzu Master,Unknown,Unknown,Good,,100,100,100,100,100,100
Fixer,Paul Norbert Ebersol,Paul Norbert Ebersol,Bad,Marvel Comics,0,0,0,0,0,0
Flash (CW),Barry Allen,Bartholomew Henry Allen,Good,DC Comics,85,35,100,75,100,85
Flash Gordon,Steven Gordon,Steven Gordon,Good,,100,10,25,20,25,25
Flash III,Wally West,Wallace Rudolph West,Good,DC Comics,80,10,100,60,100,30
Grayven,,,Bad,DC Comics,75,100,70,90,100,80
Flash (Injustice),Barry Allen,Bartholomew Barry Henry Allen,Good,DC Comics,90,30,100,95,100,45
Flash IV,Bartholomew Allen II,Bartholomew Allen II,Good,DC Comics,80,10,100,30,100,50
Flash Thompson,Eugene Thompson,Eugene Thompson,Good,Marvel Comics,0,0,0,0,0,0
Flash,Jay Garrick,Jason Peter Garrick,Good,DC Comics,80,10,100,50,70,30
Forbush-Man,Forbush,Irving Forbush,Good,Marvel Comics,75,10,15,20,35,25
Forge,,,Good,Marvel Comics,80,10,10,30,25,50
Frank Zhang,Frank Zhang,,Good,,95,65,70,85,100,100
Franklin Richards,Franklin Richards,Franklin Benjamin Richards,Good,Marvel Comics,90,80,15,100,100,50
Franklin Storm,Dr. Franklin Storm,Dr. Franklin Storm,Good,Marvel Comics,70,10,0,0,0,10
Frenzy,Joanna Cargill,Joanna Cargill,Bad,Marvel Comics,80,55,35,100,40,50
Frigga,Frigga,Frigga,Good,Marvel Comics,0,0,0,0,15,0
General Zod,Dru-Zod,Dru-Zod,Bad,DC Comics,95,100,95,100,100,95
Gaara,Gaara,Gaara,Good,Shueisha,85,90,65,95,100,100
Gambit,Remy Etienne LeBeau,Remy Etienne LeBeau,Good,Marvel Comics,80,10,25,30,60,85
Gamora,Gamora Zen Whoberi Ben Titan,Gamora Zen Whoberi Ben Titan,Good,Marvel Comics,90,85,40,85,55,100
Gandalf The White,Mithrandir,,Good,J. R. R. Tolkien,100,10,65,80,100,100
Gandalf,Olórin,,Good,J. R. R. Tolkien,95,10,60,70,100,100
Garmadon (The Lego Ninjago Movie),Garmadon,,Neutral,Lego,75,90,60,80,100,100
Gary Bell,Gary Bell,Gary Bell,Good,SyFy,80,5,10,10,55,10
Gemini V,Madison Jeffries,Madison Jeffries,Good,Marvel Comics,0,10,0,0,0,0
General Cryptor,Cryptor,,Bad,,100,40,60,100,100,85
General Kozu,Kozu,General Kozu,Bad,Lego,40,100,25,100,100,90
General Vex,Vex,Vex,Bad,Lego,70,30,50,10,20,10
Geo-Force,Brion Markov,,Good,DC Comics,85,80,50,90,100,90
Ghost (MCU),Ava Starr,,,Marvel Comics,85,40,60,85,75,90
Ghost Rider 2099,Kenshiro Cochrane,Kenshiro Cochrane,Good,Marvel Comics,65,55,50,100,100,50
Ghost Rider II (MCU),Robbie Reyes,Roberto Reyes,Good,Marvel Comics,75,55,30,100,100,85
Ghost Rider (King Of Hell),Johnny Blaze,Jonathon Blaze,Good,Marvel Comics,50,55,60,100,100,50
Ghost Rider (SONY),Johnny Blaze,,,Marvel Comics,85,50,50,100,100,70
Giant Stone Warrior,,,Bad,,40,90,50,100,100,90
Giganta,Doris Zuel,Doris Zuel,Bad,DC Comics,90,90,25,85,30,40
Gilotina,Gilotina,,Bad,DC Comics,95,85,80,100,100,95
Gizmo,Mikron O'Jeneus,,Bad,DC Comics,100,35,70,75,50,40
Gladiator,Kallark,Kallark,Neutral,Marvel Comics,75,100,100,100,75,70
Goblin Force,,,Bad,Marvel Comics,100,100,100,100,100,20
Goblin Queen,Madelyne Jennifer Pryor,Madelyne Jennifer Pryor,Bad,Marvel Comics,90,10,25,30,70,55
Goku,Kakarotto,Kakarotto,Good,Shueisha,75,100,100,100,100,100
Golden Glider (CW),Lisa Snart,Lisa Snart,Neutral,,80,10,30,25,30,70
Golden Master's Mech,Overlord,,Bad,,100,100,100,100,100,100
Golden Ninja,Lloyd Garmadon,LLoyd Montgomery Garmadon,Good,Lego,100,100,100,100,100,100
Goliath IV,William Barrett Foster,William Barrett Foster,Good,Marvel Comics,0,0,0,0,5,0
Gorilla Girl,Fahnbullah Eddy,Fahnbullah Eddy,,Marvel Comics,90,35,60,60,45,100
Gorilla Grodd (CW),Grodd,Grodd,Bad,DC Comics,90,65,65,80,100,85
GPL,GPL Tech,GPL Tech,Bad,Lego,100,10,10,10,20,20
Grand Master Skywalker,Luke Skywalker,Luke Skywalker,Good,George Lucas,80,30,100,30,100,90
Granny Goodness,,,Bad,DC Comics,100,80,80,100,100,100
Grant Ward (MCU),Grant Ward,Grant Douglas Ward,Bad,Marvel Comics,90,10,15,20,25,40
Graviton (MCU),Glenn Talbot,Glenn Talbot,Bad,Marvel Comics,85,50,85,90,100,85
Gravity,Greg Willis,Greg Willis,Good,Marvel Comics,75,30,35,40,70,30
Great Evil Beast,The Great Darkness,,Bad,DC Comics,100,100,100,100,100,100
Greedo,Greedo,,Bad,George Lucas,70,10,15,15,30,40
Green Arrow (Injustice),Oliver Queen,Oliver Jonas Ollie Queen,Good,DC Comics,85,15,40,40,35,85
Green Arrow,Oliver Queen,Oliver Jonas Queen,Good,DC Comics,90,25,25,30,20,90
Green Goblin (2099),Jennifer D'Angelo,,Bad,Marvel Comics,95,40,45,55,60,70
Junkpile,,,Bad,Marvel Comics,75,40,15,90,85,30
Green Goblin II,Harold Osborn,Harold Osborn,Bad,Marvel Comics,90,55,35,50,45,25
Green Goblin III,Barton Hamilton,Barton Hamilton,Good,Marvel Comics,0,0,0,0,0,0
Green Goblin IV,Phillip Benjamin Urich,Phillip Benjamin Urich,Good,Marvel Comics,0,0,0,0,0,0
Green Goblin (SONY),Norman Osborn,,,Marvel Comics,95,55,60,65,55,85
Green Lantern (Injustice),Hal Jordan,Harold Hal Jordan,Good,DC Comics,90,65,85,85,100,85
Grim Reaper,Eric Williams,Eric Williams,Bad,Marvel Comics,90,30,40,50,90,70
Green Lantern (New 52),Alan Scott,,Good,DC Comics,85,75,65,95,90,80
Greenskyn Smashtroll,Unknown,,Good,Marvel Comics,80,100,55,60,75,90
Grid,,,Bad,DC Comics,100,55,50,65,70,75
Griffin Turner,Griffin Turner,,Good,,90,10,100,35,85,85
Grifter,Cole Cash,,Neutral,DC Comics,75,15,50,80,100,95
Groot,Groot,Groot,Good,Marvel Comics,90,85,35,70,100,65
Gru,Felonius Gru,,,Universal Studios,100,20,50,45,75,90
Gypsy (CW),Cynthia,Cynthia Reynolds,Good,DC Comics,80,15,45,40,80,85
Gypsy,,Cynthia Cindy Reynolds,Good,DC Comics,90,10,15,30,65,70
Hammer,Leroy Hammer Jackson,,Bad,Marvel Comics,90,100,100,100,85,100
Husk,Paige Elisabeth Guthrie,Paige Elisabeth Guthrie,Good,Marvel Comics,80,65,35,80,50,65
Hammerhead,Joseph,,Bad,Marvel Comics,90,10,20,40,35,40
Hancock,John Hancock,John Hancock,Good,Sony Pictures,75,90,65,100,100,50
Happy Hogan,Happy Hogan,Harold Joseph,Good,Marvel Comics,85,10,10,10,15,50
Harbinger,Lyla Michaels,,Good,DC Comics,95,45,60,60,100,70
Harley Keener,,,Good,Marvel Comics,90,0,10,5,10,10
Hawkman (CW),Carter Hall,,Good,DC Comics,70,55,60,70,50,70
Harley Quinn (Arkham),Harleen Quinzel,Harleen Frances Quinzel,Bad,DC Comics,100,20,50,60,75,100
Harley Quinn (New 52),Harleen Quinzel,,Neutral,DC Comics,100,20,50,65,65,100
Harley Quinn,Harleen Quinzel,Harleen Francis Quinzel,Bad,DC Comics,95,10,35,65,55,80
Harrison Wells (CW),Harrison Wells,Harrison Wells,Good,DC Comics,100,10,25,20,15,70
Harry Osborn (Raimi Trilogy),Harold Osborn,Harold Osborn,Good,Marvel Comics,85,50,60,60,70,75
Harry Potter,Harry James Potter,,Good,J. K. Rowling,90,5,20,10,100,50
Harumi,Harumi,,Bad,,95,10,35,30,85,100
Harvey Bullock,,,,DC Comics,90,15,40,45,70,90
Hashirama Senju,,,Good,Shueisha,95,95,80,100,100,100
Havok (FOX),Alexander Summers,,Good,Marvel Comics,90,30,50,60,55,75
Hawkwoman III,Shayera Thal,Shayera Thal,Good,DC Comics,80,30,65,55,55,75
Havok,Alexander Summers,Alexander Summers,Good,Marvel Comics,80,10,25,60,70,45
Hawk (Titans),Hank Hall,Henry Hall,Good,DC Comics,75,15,35,50,45,85
Hawkeye II,Katherine Elizabeth Bishop,Katherine Elizabeth Bishop,Good,Marvel Comics,75,5,10,10,25,50
Hawkgirl (CW),Kendra Saunders,,Good,DC Comics,80,30,55,100,80,75
Hawkgirl,Kendra Saunders,Kendra Saunders,Good,DC Comics,85,80,90,100,100,90
HK-47,HK-47,,,George Lucas,0,0,0,0,0,0
Hawkwoman,Shayera Thal,Shayera Thall,Good,DC Comics,90,30,45,55,70,85
Heart Of The Monster Hulk,Bruce Banner,Bruce David Banner,Good,Marvel Comics,85,100,90,100,100,85
Hearthstone,Hearthstone,,,,100,30,60,75,100,80
Heat Wave (CW),Mick Rory,Mick Rory,Good,DC Comics,75,15,30,45,40,85
Heat Wave,Mick Rory,Mick Rory,Bad,DC Comics,70,10,15,45,25,30
Heavy Metal,Faith,,Neutral,,95,10,25,35,100,50
Heimdall (MCU),Heimdall,,Good,Marvel Comics,100,35,85,90,100,90
Hela,,,Bad,Marvel Comics,80,100,45,100,100,45
Hellboy (Injustice 2),Anung Un Rama,Anung Un Rama,Good,Dark Horse Comics,75,100,100,100,100,100
Hellboy,Anung Un Rama,Anung Un Rama,Good,Dark Horse Comics,75,55,50,100,100,100
Hellcat,Patricia Walker,Patricia Walker,Good,Marvel Comics,80,10,35,45,45,70
Hellfire (MCU),JT James,James Taylor James,Bad,Marvel Comics,75,10,20,25,55,75
Hellstorm,Daimon Hellstrom,Daimon Hellstrom,Good,Marvel Comics,65,30,10,65,100,25
Hepzibah,Hepzibah,Hepzibah,Good,Marvel Comics,0,0,0,0,0,0
Herald,Mal Duncan,Malcolm Arnold Duncan,Good,DC Comics,80,20,25,50,100,80
Hermione Granger,Hermione Granger,Hermione Jean Granger Weasley,Good,J. K. Rowling,95,5,25,20,100,45
Highfather,Izaya,,Good,DC Comics,100,100,90,100,100,95
Hinata Hyūga,Hinata Hyūga,,Good,Shueisha,90,10,70,60,85,100
Hiruzen Sarutobi,,,Good,Shueisha,100,15,50,60,100,100
Hit-Girl,Mindy McCready,Mindy McCready,Good,Icon Comics,80,5,30,20,25,65
Hit-Monkey,Unknown,,Neutral,Marvel Comics,85,15,50,45,70,85
Hive (MCU),Unknown,Unknown,Bad,Marvel Comics,90,30,40,100,100,100
Hogun (MCU),Hogun,Hogun,Good,Marvel Comics,70,60,60,75,70,90
Hollow,Monet St. Croix,Monet St. Croix,Good,Marvel Comics,0,0,0,0,5,0
Homelander,John,John,Bad,,90,100,100,100,100,75
Honey Badger,Gabrielle Kinney,Gabrielle Kinney,Good,Marvel Comics,50,35,75,65,70,70
Hope Summers,Hope Summers,Hope Summers,Good,Marvel Comics,80,10,10,30,95,75
Hourman,Rex Tyler,Rex Tyler,Good,DC Comics,85,80,65,70,85,80
Howard The Duck,Howard,Howard,Good,Marvel Comics,90,10,40,40,100,90
Hugo Strange,Professor Hugo Strange,Professor Hugo Strange,Bad,DC Comics,100,15,35,45,75,85
Hulk (2003),Bruce Banner,,,Marvel Comics,95,100,60,80,100,90
Hulk 2099,John Eisenhart,,,Marvel Comics,95,100,70,80,100,60
Human Target,Christopher Chance,,Good,DC Comics,100,15,30,50,50,95
Hulk Earth-5901,Bruce Banner,Bruce Banner,Good,Marvel Comics,75,100,90,100,100,75
Hulk (Stark Gauntlet) (MCU),Bruce Banner,,Good,Marvel Comics,100,100,80,100,100,90
Hulk,Bruce Banner,Robert Bruce Banner,Good,Marvel Comics,60,100,85,100,100,85
Hulkling,Dorrek VIII,Dorrek VIII,Good,Marvel Comics,90,80,60,60,100,70
Human Torch (FOX),Jonathan Storm,Jonathan Storm,Good,Marvel Comics,75,15,75,50,100,65
Human Torch II,Jim Hammond,Jim Hammond,Good,Marvel Comics,90,15,35,60,55,45
Huntress (CW),Helena Bertinelli,,Good,DC Comics,90,10,45,30,20,100
Huntress (Injustice),Helena Rosa Bertinelli,Helena Rosa Bertinelli,Good,DC Comics,85,15,50,50,35,100
Hush,Thomas Elliot,Thomas Elliot,Bad,DC Comics,95,10,25,40,25,80
Indiana Jones,Indiana Jones,Henry Walton Jones Jr.,Good,George Lucas,85,10,15,30,20,30
Hybrid,Scott Washington,,Good,Marvel Comics,80,65,60,75,100,80
Hydro-Man,Morris Bench,Morris Bench,Bad,Marvel Comics,70,15,25,80,65,50
Iceman (FOX),Bobby Drake,,Good,Marvel Comics,80,35,50,60,70,65
Iceman,Bobby Drake,Robert Louis Drake,Good,Marvel Comics,80,30,55,100,100,65
Icon,Arnus,Augustus Freeman,Good,DC Comics,95,100,100,100,100,90
Immortal Hulk,Bruce Banner,Robert Bruce Banner,Neutral,Marvel Comics,90,100,90,100,100,85
Imperiex,Imperiex,,Bad,DC Comics,90,100,95,100,100,85
Impossible Man,,,Neutral,Marvel Comics,85,100,95,100,100,75
Incredible Hulk (Universal),Bruce Banner,,Good,Marvel Comics,95,100,75,100,100,85
Incubus (DCEU),Incubus,Incubus,Bad,,65,80,50,95,100,80
Indigo,Iroque,,Neutral,DC Comics,90,65,50,50,100,50
Infernal Hulk,Bruce Banner,Robert Bruce Banner,Bad,Marvel Comics,75,100,100,100,100,75
Infinity Man,,,Good,DC Comics,100,100,100,100,100,80
Ink,Eric Gitter,Eric Gitter,Good,Marvel Comics,70,30,15,40,75,50
